DBSFG1, 04/13/24,INC,REP,E(WM0106) 00 2022-23 RWADA,F(WM0111) 00 2021 ACTUAL VALUATION/2022-23 RWADA,G(NO0090) 05 TR AR: 1.01-(.46*AV/RWADA WLTH RATIO),H(WM0126) 00 2022-23 RESIDENT PUB+NONPUB ENROLLMENT,I(WM0131) 00 2021 AV/2022-23 RES PUB+NONPUB ENRLMT,J(NO0091) 05 TRANS ENRL AR: 1.01-(.46*EWR),K(WM0184) 05 STATE SHARING RATIO (SSR),L(NO0094) 05 22-23 ENR/SQ MILE,M(NO0095) 05 TRANS SPARSTY ADJ:(21 - 22-23ENR/SQ MI)/317.88,"N(NO0075) 05 24-25 SEL TRANSP AID RATIO,.9 MAX,.065 MIN","O(NO0074) 00 TRANS NON-CAP EXP W/O SUMMR,S.3627FOR 24-25 AID",P(E10074) 00 TRANS SEC 3627 TOTAL EXPENDITURES,Q(E10037) 00 TRANS CAPITAL NEW BUS PURCHASE EXP,R(E10038) 00 TRANS CAPITAL NEW LEASE EXPENDITURE,S(E10036) 00 TRANS CAPITAL NEW EQUIPMENT EXPENDITURE,T(NO0040) 00 SUMMER TRANS NON-CAPITAL EXP FOR 24-25 AID,U(NO0106) 00 2024-25 TRANSP AID ON NON-CAPITAL EXPENDITURES,V(NO0079) 00 2024-25 TRANSP AID ON CAPITAL EXPENDITURES,"W(K20133) 00 2022-23 PUBLIC ENROLLMENT, ATTN, DUPLICATED",X(PK0155) 00 2023-24 MAX TPK AID,Y(PK0151) 00 2023-24 90M FED UPK EXP GRANT,Z(PK0153) 00 2023-24 15M SUFDPK EXP GRANT,AA(PK0162) 00 2023-24 100M UPK EXP GRANT,AB(PK0159) 00 2023-24 25M SUFDPK EXP GRANT,AC(PK0111) 00 2023-24 MAX SUFDPK AID(1415),AD(FL0006) 00 2023-24 MAX UPK AID,AE(CL0014) 00 2023-24 PAYABLE UPK AID,AF(FL0018) 05 3 YR. DIRECT CERTIFICATION AVERAGE
500401,SUFFERN,1,0,"4,210","1,202,453",0.478,"5,644","896,940",0.564,0.363,92.224,0.000,0.564,"12,204,256",0,0,0,0,"87,282","6,883,200",0,"3,893",0,"534,600",0,"1,123,200",0,"200,000","1,487,700","526,497",0.2946
500402,EAST RAMAPO,1,1,"9,954","1,150,175",0.501,"41,040","278,967",0.872,0.361,281.414,0.000,0.872,"52,438,243",0,0,0,0,0,"45,726,148",0,"9,919",0,0,"400,000",0,0,0,"11,067,622","11,067,622",0.62232
510101,BRASHER FALLS,1,0,986,"274,806",0.889,955,"283,726",0.869,0.900,5.558,0.048,0.900,"1,773,507",0,"261,064",0,"4,956","126,708","1,596,156","239,418",953,0,0,0,0,0,0,"430,698","365,800",0.4866
510201,CANTON,1,0,"1,135","444,567",0.814,"1,108","455,401",0.784,0.628,8.454,0.039,0.853,"1,912,700",0,"423,594",0,"7,861",0,"1,631,533","368,031","1,081",0,0,0,0,0,0,"244,845","244,845",0.37663
510401,CLIFTON FINE,1,0,238,"1,632,477",0.287,236,"1,646,312",0.190,0.403,0.750,0.063,0.571,"615,624",0,"119,766",0,339,"12,028","351,521","68,580",240,0,0,0,0,0,0,"103,120","103,120",0.56622
510501,COLTON PIERREP,1,0,377,"1,286,219",0.441,359,"1,350,709",0.338,0.429,1.431,0.061,0.602,"722,110",0,"189,463",0,0,0,"434,710","114,057",360,0,0,0,0,0,0,"54,000","54,000",0.35793
511101,GOUVERNEUR,1,0,"1,429","351,741",0.855,"1,495","336,213",0.843,0.900,6.234,0.046,0.900,"2,361,637",0,"437,190",0,"36,416","24,667","2,125,473","426,245","1,411",0,0,0,0,0,0,"806,750","806,750",0.52264
511201,HAMMOND,1,0,252,"1,090,886",0.527,227,"1,211,028",0.407,0.519,2.078,0.059,0.714,"336,261",0,"96,571",0,"1,248",0,"240,090","69,843",237,0,0,0,0,0,0,"72,000","72,000",0.49313
511301,HERMON DEKALB,1,0,376,"439,643",0.816,365,"452,893",0.785,0.898,3.655,0.054,0.900,"677,722",0,"258,196",0,"2,646","10,600","609,950","234,758",364,0,0,0,0,0,0,"103,377","103,377",0.48153
511602,LISBON,1,0,563,"381,501",0.842,528,"406,790",0.808,0.897,5.941,0.047,0.900,"1,063,335",0,"291,259",0,0,"15,126","957,002","262,133",544,0,0,0,0,0,0,"327,298","136,375",0.31907
511901,MADRID WADDING,1,0,642,"435,217",0.818,630,"443,507",0.790,0.808,5.008,0.050,0.900,"1,215,089",0,"239,865",0,"2,169",0,"1,093,580","217,831",636,0,0,0,0,0,0,"141,019","99,542",0.37541
512001,MASSENA,1,0,"2,355","340,502",0.860,"2,456","326,499",0.848,0.900,17.677,0.010,0.900,"2,336,681",0,"358,906",0,"4,156",0,"2,103,013","326,756","2,370",0,"674,880",0,"458,033",0,0,"665,039","665,039",0.5198
512101,MORRISTOWN,1,0,331,"813,863",0.650,320,"841,840",0.591,0.581,4.007,0.053,0.786,"618,149",0,"151,956",0,0,0,"485,865","119,437",317,0,0,0,"183,316",0,0,"266,944","177,963",0.49056
