DBSFI1, 04/13/24,INC,REP,E(NO0708) 00 BLDG LEASE AID,F(NO0709) 00 BLDG AMORT-RETRO AID,G(NO0710) 00 BLDG AMORT-PROSP AID,H(NO0707) 00 BLDG AMORT-CAP OUTLAY AID,I(NO0711) 00 BLDG 2023 DEFERD JULY AID,J(NO0715) 00 BLDG 2022 DEFERD JULY AID,K(NO0712) 00 BLDG NYC UNCONFIRMED  AID,L(NO0713) 00 BLDG REFUND/REFIN AID (A.R.),M(NO0568) 00 BLDG AID ON 3 CAP OUTLAY EXCEPTIONS,"N(NO0572) 00 BLDG AID ON METAL DETECTORS,ETC.",O(NO0569) 00 BLDG EXP FOR BLDG CONDITION SURVEYS,P(NO0570) 05 BLDG CONDITION SURVEY AID RATIO,Q(NO0571) 00 BLDG AID FOR BLDG CONDITION SURVEYS,R(NO0573) 00 BLDG AID DUE SPECIAL LEGISLATION,S(NO0468) 00 CHAPTER 97 POTENTIAL EXPENDITURES,T(NO0540) 00 CHAPTER 97 POTENTIAL AID,U(A10117) 00 -BLDG AID 23-24 DEFERRED TO 2024-25 (NYC),V(A20117) 00 +BLDG AID 22-23 DEFERRED TO 2023-24 (NYC),W(NO0719) 00 REORG INCENTIVE NET EXPENDITURES,X(NO0720) 00 REBL AMORT (PROSP)  EXPENDITURES,Y(NO0721) 00 REBL DEFERRED JULY  EXPENDITURES,Z(NO0723) 00 REORG INCENTIVE NET AID,AA(NO0724) 00 REBL AMORT (PROSP)  AID,AB(NO0725) 00 REBL DEFERRED JULY  AID,AC(FA0153) 00 24-25 BLDG AID DEFERRED TO 7/24,AD(FA0154) 00 23-24 BLDG AID DEFERRED TO 7/23,AE(CL0014) 00 2023-24 PAYABLE UPK AID
011003,VOORHEESVILLE,1,0,0,0,"560,685",0,0,0,0,0,"69,900",0,0,0.599,0,0,"24,111","16,854",0,0,0,0,0,0,0,0,0,0,0
011200,WATERVLIET,1,0,0,0,"2,697,654",0,0,0,0,0,0,0,0,0.864,0,0,"456,564","440,128",0,0,0,0,0,0,0,0,0,0,"518,627"
020101,ALFRED ALMOND,1,0,0,0,"1,307,375",0,0,0,0,0,"87,900",0,0,0.779,0,0,"470,088","413,207",0,0,0,0,0,0,0,0,0,0,"172,325"
020601,ANDOVER,1,0,0,0,"702,580",0,0,0,0,0,"91,400",0,"9,888",0.814,"8,049",0,"96,384","88,095",0,0,0,0,0,0,0,0,0,0,"59,517"
020702,GENESEE VALLEY,1,0,0,"1,811,997","1,384,337",0,0,0,0,0,"91,900",0,0,0.819,0,0,0,0,0,0,"1,907,365",0,0,1,0,0,0,0,"324,204"
020801,BELFAST,1,0,0,0,"1,194,413",0,0,0,0,0,"96,200",0,0,0.862,0,0,"122,256","117,610",0,0,0,0,0,0,0,0,0,0,"105,638"
021102,CANASERAGA,1,0,0,0,"780,294",0,0,0,0,0,0,0,0,0.765,0,0,"10,180","8,806",0,0,0,0,0,0,0,0,0,0,"82,278"
021601,FRIENDSHIP,1,0,0,0,"1,116,387",0,0,0,0,0,0,0,"36,472",0.889,"32,424",0,0,0,0,0,0,0,0,0,0,0,0,0,"109,929"
022001,FILLMORE,1,0,0,0,"1,500,995",0,0,0,0,0,"97,000",0,0,0.870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"303,581"
022101,WHITESVILLE,1,0,0,0,"385,006",0,0,0,0,0,"89,100",0,0,0.791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"37,407"
022302,CUBA-RUSHFORD,1,0,0,0,"1,576,105",0,0,0,0,0,"85,100",0,0,0.751,0,0,"62,298","53,016",0,0,0,0,0,0,0,0,0,0,"138,671"
022401,SCIO,1,0,0,0,"600,365",0,0,0,0,0,"95,900",0,0,0.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101,006"
022601,WELLSVILLE,1,0,0,0,"2,920,024",0,0,0,0,0,"93,800",0,0,0.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"487,062"
022902,BOLIVAR-RICHBG,1,0,0,0,"756,721",0,0,0,0,0,"98,000",0,0,0.901,0,0,"116,214","113,890",0,0,0,0,0,0,0,0,0,0,"461,659"
030101,CHENANGO FORKS,1,0,0,0,"1,956,086",0,0,0,0,0,"90,400","31,640",0,0.804,0,0,"282,024","254,950",0,0,0,0,0,0,0,0,0,0,"348,240"
030200,BINGHAMTON,1,0,0,0,"7,244,589",0,0,0,0,0,"96,500",0,0,0.865,0,0,"211,824","204,410",0,0,0,0,0,0,0,0,0,0,"2,370,118"
030501,HARPURSVILLE,1,0,0,0,"2,079,052",0,0,0,0,0,"91,200",0,0,0.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"166,175"
030601,SUSQUEHANNA VA,1,0,0,0,"3,213,905",0,0,0,0,0,"87,700",0,0,0.777,0,0,686,602,0,0,0,0,0,0,0,0,0,0,"285,159"
030701,CHENANGO VALLE,1,0,0,0,"1,878,907",0,0,0,0,0,"88,400",0,0,0.784,0,0,"1,674,484","1,480,244",0,0,0,0,0,0,0,0,0,0,"389,366"
031101,MAINE ENDWELL,1,0,0,0,"6,022,681",0,0,0,0,0,"93,300","32,655",0,0.833,0,0,"80,596","75,196",0,0,0,0,0,0,0,0,0,0,"691,968"
031301,DEPOSIT,1,0,0,0,"1,121,098",0,0,0,0,0,"60,494",0,0,0.530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"84,000"
031401,WHITNEY POINT,1,0,0,0,"3,840,015",0,0,0,0,0,"97,800","13,344",0,0.878,0,0,"3,051,102","2,983,978",0,0,0,0,0,0,0,0,0,0,"1,060,991"
031501,UNION-ENDICOTT,1,0,0,"500,242","5,560,555",0,995,995,0,"10,853","89,200",0,0,0.792,0,0,0,0,0,0,0,0,0,0,0,0,"1,990",496,"673,962"
031502,JOHNSON   CITY,1,0,0,0,"6,113,233",0,0,0,0,0,"92,100",0,"85,000",0.821,"69,785",0,"192,764","177,536",0,0,0,0,0,0,0,0,0,0,"759,226"
031601,VESTAL,1,0,0,0,"2,323,461",0,0,0,0,0,"78,700",0,0,0.687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"386,100"
031701,WINDSOR,1,0,0,0,"3,391,925",0,0,0,0,0,"84,500",0,0,0.745,0,0,"2,024,824","1,710,976",0,0,0,0,0,0,0,0,0,0,"540,343"
040204,WEST VALLEY,1,0,0,0,"469,346",0,0,0,0,0,0,0,0,0.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"65,096"
040302,ALLEGANY-LIMES,1,0,0,"380,390","2,630,915",0,0,0,0,"23,319","88,300",0,0,0.783,0,0,0,0,0,0,"431,545","757,006",0,"28,914","50,721",0,0,"6,685","337,050"
040901,ELLICOTTVILLE,1,0,0,0,"905,386",0,0,0,0,0,0,0,"25,000",0.551,"13,775",0,0,0,0,0,0,0,0,0,0,0,0,0,"50,614"
041101,FRANKLINVILLE,1,0,0,0,"2,169,964",0,0,0,0,0,"91,100",0,0,0.811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"154,154"
041401,HINSDALE,1,0,0,0,"583,147",0,0,0,0,0,"89,900",0,0,0.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"98,300"
042302,CATTARAUGUS-LI,1,0,0,"37,508","3,504,051",0,0,0,0,0,"90,700",0,0,0.807,0,0,"1,580,199","1,433,240",0,0,0,"2,891,642",0,0,"211,090",0,0,0,"319,774"
042400,OLEAN,1,0,0,0,"3,417,967",0,0,0,0,0,"96,800","32,445",0,0.868,0,0,"2,314,892","2,240,815",0,0,0,0,0,0,0,0,0,0,"477,387"
042801,GOWANDA,1,0,0,0,"2,404,386",0,0,0,0,0,"96,500","72,750",0,0.865,0,0,0,0,0,0,0,0,0,0,0,0,0,"331,164","406,423"
042901,PORTVILLE,1,0,0,0,"2,069,042",0,0,0,0,0,"94,300",0,0,0.843,0,0,"4,968","4,685",0,0,0,0,0,0,0,0,0,0,"169,472"
043001,RANDOLPH,1,0,0,0,"488,422",0,0,0,0,0,"82,665",0,"25,000",0.735,"18,375",0,0,0,0,0,0,0,0,0,0,0,0,0,"340,730"
043200,SALAMANCA,1,0,0,0,"1,738,667",0,0,0,0,0,0,0,0,0.955,0,0,"407,518","399,368",0,0,0,0,0,0,0,0,0,0,"380,628"
043501,YORKSHRE-PIONE,1,0,0,0,"5,585,761",0,0,0,0,0,0,"29,540","195,356",0.795,"155,308",0,0,0,0,0,0,"52,558",0,0,"4,468",0,0,0,"497,513"
050100,AUBURN,1,0,0,0,"4,023,892",0,"93,794",0,0,0,0,"30,275",0,0.765,0,0,"170,742","147,692",0,0,0,0,0,0,0,0,"93,794",0,"1,528,321"
050301,WEEDSPORT,1,0,0,"155,480","1,769,403",0,0,0,0,0,"83,100","8,310",0,0.731,0,0,"127,614","106,047",0,0,0,0,0,0,0,0,0,0,"126,432"
050401,CATO MERIDIAN,1,0,0,0,"1,685,852",0,0,0,0,0,"263,700","6,904",0,0.779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"369,455"
