DBSFH1, 04/13/24,INC,REP,E(WM0265) 05 2024-25 CURRENT YR BUILDING AID RATIO,F(WE0081) 03 SEL BLDG AID RATIO 23-24 BL AID<7/1/00,G(NO0391) 05 SEL BLDG AID RATIO 24-25 BL AID<7/1/98,H(MA0015) 0A LEGEND FOR CURRENT YEAR BLDG AID,I(NO0396) 05 INCENTIVE DECIMAL FOR EXP>=7/1/98,"J(NO0397) 05 SEL AID RATIO, APPR >= 7/1/98",K(WE0096) 03 SEL BLDG AID RATIO FOR 99-00 BLDG AID,L(NO0400) 05 LOW INCOME BLDG AID RATIO >= 7/1/00,M(NO0402) 05 INCENTIVE DECIMAL FOR EXP >= 7/1/00,N(NO0403) 05 SEL BLDG AID RATIO FOR EXP >= 7/1/00,O(NO0406) 05 LOW INCOME BLDG AID RATIO >= 7/1/05,"P(MI0014) 00 2003 NEED/RESOURCE CAPACITY CODE, 1-4=HI NEED","Q(NO0407) 05 HNSBAR: HIGH NEED, FOR EXP >= 7/1/05",R(NO0408) 05 INCENTIVE DECIMAL FOR EXP >= 7/1/05,S(NO0409) 05 SEL BLDG AID RATIO FOR EXP >= 7/1/05,T(NO0580) 02 REORG BLDG INCENTVE RATIO(.25 OR .30),U(NO0696) 00 BLDG LEASE EXPENDITURES,V(NO0697) 00 BLDG AMORT-RETRO EXPENDITURES,W(NO0698) 00 BLDG AMORT-PROSP EXPENDITURES,X(NO0695) 00 BLDG AMORT-CAP OUTLAY EXPENDITURES,Y(NO0699) 00 BLDG 2023 DEFERD JULY EXPENDITURES,Z(NO0703) 00 BLDG 2022 DEFERD JULY EXPENDITURES,AA(NO0700) 00 BLDG NYC UNCONFIRMED EXPENDITURES,AB(NO0701) 00 BLDG REFUND/REFIN EXPENDITURES (A.R.),AC(NO0702) 00 BLDG REFUND/REFIN EXPENDITURES (100%),AD(NO0567) 00 BLDG EXPENDITURE FOR 3 CAP OUTLAY EXCEPTIONS,"AE(B10171) 00 BLDG EXPENDITURE FOR METAL DETECTORS,ETC.","AF(NO0386) 05 AID RATIO FOR METAL DETECTORS,ETC. AID",AG(NO0727) 00 BLDG EXP. FOR WATER TESTING,AH(NO0728) 05 AID RATIO FOR WATER TESTING
051301,MORAVIA,1,0,0.665,0.836,0.836,93-94 BLD AR ,0.100,0.936,0.836,0.000,0.100,0.836,0.000,5,0.000,0.100,0.836,0.00,0,0,"1,724,064",0,0,0,0,0,0,"100,000",0,0.765,0,0.736
051901,UNION SPRINGS,1,0,0.604,0.785,0.785,93-94 BLD AR ,0.100,0.885,0.785,0.000,0.100,0.785,0.000,5,0.000,0.100,0.785,0.00,0,0,"1,848,446",0,0,0,0,0,0,0,"35,000",0.704,"10,000",0.685
060201,SOUTHWESTERN,1,0,0.741,0.763,0.763,10-11 BLD AR ,0.100,0.863,0.749,0.000,0.100,0.841,0.000,5,0.000,0.100,0.841,0.00,0,"282,219","2,641,634","3,784",0,0,0,41,"16,642","100,000",0,0.841,0,0.741
060301,FREWSBURG,1,0,0.836,0.867,0.867,93-94 BLD AR ,0.083,0.950,0.867,0.000,0.100,0.936,0.000,5,0.000,0.100,0.936,0.00,0,0,"1,479,530",0,0,0,0,0,0,"100,000",0,0.936,0,0.836
060401,CASSADAGA VALL,1,0,0.770,0.872,0.872,93-94 BLD AR ,0.078,0.950,0.872,0.000,0.100,0.872,0.000,4,0.038,0.100,0.910,0.00,0,0,"1,341,892",0,0,0,0,0,0,"500,000",0,0.870,0,0.810
060503,CHAUTAUQUA,1,0,0.000,0.721,0.721,93-94 BLD AR ,0.100,0.821,0.721,0.000,0.100,0.721,0.000,5,0.000,0.100,0.721,0.30,0,"726,220","2,762,768",0,0,0,0,"1,957","5,197",0,"2,673",0.100,0,0.621
060601,PINE VALLEY,1,0,0.770,0.860,0.860,94-95 BLD AR ,0.090,0.950,0.860,0.000,0.100,0.870,0.000,4,0.038,0.100,0.908,0.00,0,0,"1,579,744",0,0,0,0,0,0,"100,000",0,0.870,300,0.808
060701,CLYMER,1,0,0.579,0.803,0.803,94-95 BLD AR ,0.100,0.903,0.803,0.000,0.100,0.803,0.000,4,0.035,0.100,0.838,0.00,0,0,"423,428",0,0,0,0,0,0,0,0,0.679,0,0.738
060800,DUNKIRK,1,0,0.844,0.856,0.856,10-11 BLD AR ,0.094,0.950,0.740,0.000,0.100,0.944,0.000,3,0.042,0.094,0.980,0.00,0,0,"5,387,270",0,"11,106",0,0,0,0,"250,000",0,0.944,0,0.886
061001,BEMUS POINT,1,0,0.461,0.692,0.692,93-94 BLD AR ,0.100,0.792,0.692,0.000,0.100,0.692,0.000,5,0.000,0.100,0.692,0.00,0,0,"1,643,808",0,0,0,0,0,0,"100,000",0,0.561,"7,500",0.592
061101,FALCONER,1,0,0.810,0.827,0.827,10-11 BLD AR ,0.100,0.927,0.808,0.000,0.100,0.910,0.000,5,0.000,0.100,0.910,0.00,0,0,"2,036,140",0,0,0,0,0,0,"100,000",0,0.910,0,0.810
061501,SILVER CREEK,1,0,0.780,0.847,0.847,93-94 BLD AR ,0.100,0.947,0.847,0.000,0.100,0.880,0.000,4,0.039,0.100,0.919,0.00,0,0,"2,650,670",0,0,0,0,0,0,"100,000",0,0.880,0,0.819
061503,FORESTVILLE,1,0,0.708,0.825,0.825,94-95 BLD AR ,0.100,0.925,0.825,0.000,0.100,0.825,0.000,4,0.036,0.100,0.861,0.00,0,0,"1,057,376",0,0,0,0,0,0,"100,000",0,0.808,0,0.761
061601,PANAMA,1,0,0.759,0.844,0.844,94-95 BLD AR ,0.100,0.944,0.844,0.000,0.100,0.859,0.000,5,0.000,0.100,0.859,0.00,0,0,"1,130,212",0,0,0,0,0,0,0,0,0.859,0,0.759
061700,JAMESTOWN,1,0,0.901,0.903,0.903,21-22 BLD AR ,0.047,0.950,0.857,0.000,0.049,0.950,0.000,3,0.045,0.034,0.980,0.00,0,0,"6,567,820",0,0,0,0,0,0,"735,000",0,1.000,0,0.946
062201,FREDONIA,1,0,0.708,0.827,0.827,93-94 BLD AR ,0.100,0.927,0.827,0.000,0.100,0.827,0.000,5,0.000,0.100,0.827,0.00,0,0,"1,114,712",0,0,0,0,0,0,"100,000",0,0.808,"15,000",0.727
062301,BROCTON,1,0,0.787,0.890,0.890,93-94 BLD AR ,0.060,0.950,0.890,0.000,0.100,0.890,0.000,4,0.039,0.100,0.929,0.00,0,0,"1,881,948",0,0,0,0,0,0,"100,000",0,0.887,0,0.829
062401,RIPLEY,1,0,0.810,0.869,0.869,10-11 BLD AR ,0.081,0.950,0.857,0.000,0.100,0.910,0.000,4,0.040,0.100,0.950,0.00,0,0,"268,844",0,0,0,0,0,0,"100,000",0,0.910,0,0.850
062601,SHERMAN,1,0,0.740,0.850,0.850,10-11 BLD AR ,0.100,0.950,0.843,0.000,0.100,0.843,0.000,4,0.037,0.100,0.880,0.00,0,0,"823,249",0,0,0,0,0,0,"100,000",0,0.840,0,0.780
062901,WESTFIELD,1,0,0.725,0.821,0.821,93-94 BLD AR ,0.100,0.921,0.821,0.000,0.100,0.825,0.000,4,0.036,0.100,0.861,0.00,0,0,"670,434",0,0,0,0,0,0,"100,000",0,0.825,0,0.761
070600,ELMIRA,1,0,0.853,0.863,0.863,10-11 BLD AR ,0.087,0.950,0.852,0.000,0.097,0.950,0.000,3,0.042,0.085,0.980,0.00,0,0,"8,305,288",0,0,0,0,0,0,"100,000","35,000",0.953,0,0.895
070901,HORSEHEADS,1,0,0.704,0.803,0.803,93-94 BLD AR ,0.100,0.903,0.803,0.000,0.100,0.804,0.000,5,0.000,0.100,0.804,0.00,0,0,"8,202,570",0,0,0,0,0,0,0,0,0.804,0,0.704
070902,ELMIRA HEIGHTS,1,0,0.828,0.827,0.828,CURRENT YEAR ,0.100,0.928,0.797,0.000,0.100,0.928,0.000,5,0.000,0.100,0.928,0.00,0,0,"1,243,518",0,0,0,0,0,0,"100,000","30,906",0.928,0,0.828
080101,AFTON,1,0,0.760,0.856,0.856,93-94 BLD AR ,0.094,0.950,0.856,0.000,0.100,0.860,0.000,4,0.038,0.100,0.898,0.00,0,0,"2,397,190",0,0,0,0,0,0,0,0,0.860,0,0.798
080201,BAINBRIDGE GUI,1,0,0.781,0.844,0.844,93-94 BLD AR ,0.100,0.944,0.844,0.000,0.100,0.881,0.000,5,0.000,0.100,0.881,0.00,0,0,"1,733,642",0,0,0,0,0,0,"100,000","34,722",0.881,0,0.781
080601,GREENE,1,0,0.762,0.855,0.855,93-94 BLD AR ,0.095,0.950,0.855,0.000,0.100,0.862,0.000,4,0.038,0.100,0.900,0.00,0,0,"4,360,350",0,0,0,0,0,0,0,0,0.862,0,0.800
081003,UNADILLA,1,0,0.774,0.858,0.858,93-94 BLD AR ,0.092,0.950,0.858,0.000,0.100,0.874,0.000,4,0.038,0.100,0.912,0.30,0,"245,147","2,054,386","6,379",0,0,0,0,0,"99,874",0,0.874,"3,000",0.812
081200,NORWICH,1,0,0.812,0.845,0.845,93-94 BLD AR ,0.100,0.945,0.845,0.000,0.100,0.912,0.000,4,0.040,0.100,0.952,0.00,0,0,"1,130,696",0,"10,493",0,0,0,0,"135,000","35,000",0.912,0,0.852
081401,GRGETWN-SO OTS,1,0,0.672,0.827,0.827,93-94 BLD AR ,0.100,0.927,0.827,0.000,0.100,0.827,0.000,4,0.036,0.100,0.863,0.25,0,0,"1,508,042",0,0,0,0,0,0,"100,000","35,000",0.772,0,0.763
081501,OXFORD,1,0,0.818,0.876,0.876,93-94 BLD AR ,0.074,0.950,0.876,0.000,0.100,0.918,0.000,4,0.040,0.100,0.958,0.00,0,0,"2,001,354",0,0,0,0,0,0,0,0,0.918,0,0.858
082001,SHERBURNE EARL,1,0,0.815,0.863,0.863,93-94 BLD AR ,0.087,0.950,0.863,0.000,0.100,0.915,0.000,4,0.040,0.100,0.955,0.25,0,0,"2,723,592",0,0,0,0,0,0,0,0,0.915,0,0.855
090201,AUSABLE VALLEY,1,0,0.639,0.767,0.767,93-94 BLD AR ,0.100,0.867,0.767,0.000,0.100,0.767,0.000,4,0.033,0.100,0.800,0.25,0,0,"2,560,992",0,0,0,0,0,0,0,0,0.739,0,0.700
090301,BEEKMANTOWN,1,0,0.668,0.753,0.753,93-94 BLD AR ,0.100,0.853,0.753,0.000,0.100,0.768,0.000,4,0.033,0.100,0.801,0.00,0,0,"2,636,206",0,0,0,0,0,0,"100,000","35,000",0.768,197,0.701
090501,NORTHEASTERN,1,0,0.773,0.823,0.823,93-94 BLD AR ,0.100,0.923,0.823,0.000,0.100,0.873,0.000,5,0.000,0.100,0.873,0.25,0,0,"2,306,368",0,0,0,0,0,0,0,0,0.873,0,0.773
090601,CHAZY,1,0,0.747,0.811,0.811,93-94 BLD AR ,0.100,0.911,0.811,0.000,0.100,0.847,0.000,5,0.000,0.100,0.847,0.00,0,0,"749,884",0,0,0,0,0,0,"100,000",0,0.847,0,0.747
090901,NORTHRN ADIRON,1,0,0.744,0.852,0.852,93-94 BLD AR ,0.098,0.950,0.852,0.000,0.100,0.852,0.000,4,0.037,0.100,0.889,0.25,0,0,"1,975,202",0,0,0,0,0,0,"100,000",0,0.844,0,0.789
091101,PERU,1,0,0.736,0.880,0.880,93-94 BLD AR ,0.070,0.950,0.880,0.000,0.100,0.880,0.000,5,0.000,0.100,0.880,0.00,0,0,"2,637,318",0,0,0,0,0,0,"100,000","35,000",0.836,0,0.780
091200,PLATTSBURGH,1,0,0.711,0.749,0.749,93-94 BLD AR ,0.100,0.849,0.749,0.000,0.100,0.811,0.000,3,0.035,0.100,0.846,0.00,0,0,"2,104,706",0,0,0,0,0,0,0,"35,000",0.811,153,0.746
091402,SARANAC,1,0,0.761,0.832,0.832,93-94 BLD AR ,0.100,0.932,0.832,0.000,0.100,0.861,0.000,5,0.000,0.100,0.861,0.30,0,0,"1,897,980",0,0,0,0,0,0,"100,000","20,000",0.861,"5,060",0.761
100501,COPAKE-TACONIC,1,0,0.000,0.416,0.416,93-94 BLD AR ,0.100,0.516,0.416,0.000,0.100,0.416,0.000,5,0.000,0.100,0.416,0.25,0,0,"1,850,714",0,0,0,0,"4,206","79,593",0,"34,988",0.100,0,0.316
100902,GERMANTOWN,1,0,0.128,0.588,0.588,93-94 BLD AR ,0.100,0.688,0.588,0.000,0.100,0.588,0.000,5,0.000,0.100,0.588,0.00,0,0,"589,240",0,0,0,0,0,0,"100,000",0,0.228,0,0.488
101001,CHATHAM,1,0,0.118,0.496,0.496,90-91 BLD AR ,0.100,0.596,0.496,0.000,0.100,0.496,0.000,5,0.000,0.100,0.496,0.00,0,0,"1,640,752",0,0,0,0,0,0,"100,000",0,0.218,0,0.396
101300,HUDSON,1,0,0.372,0.685,0.685,93-94 BLD AR ,0.100,0.785,0.685,0.000,0.100,0.685,0.000,4,0.029,0.100,0.714,0.25,0,0,"5,300,964",0,0,0,0,0,0,0,0,0.472,0,0.614
101401,KINDERHOOK,1,0,0.586,0.735,0.735,93-94 BLD AR ,0.100,0.835,0.735,0.000,0.100,0.735,0.000,5,0.000,0.100,0.735,0.00,0,0,"3,542,388",0,0,0,0,0,0,0,"34,564",0.686,0,0.635
101601,NEW LEBANON,1,0,0.166,0.450,0.450,91-92 BLD AR ,0.100,0.550,0.450,0.000,0.100,0.450,0.000,5,0.000,0.100,0.450,0.25,0,0,"987,092",0,0,0,0,0,0,0,0,0.266,0,0.350
110101,CINCINNATUS,1,0,0.785,0.865,0.865,93-94 BLD AR ,0.085,0.950,0.865,0.000,0.100,0.885,0.000,4,0.039,0.100,0.924,0.00,0,0,"1,241,098",0,0,0,0,0,0,"100,000",0,0.885,"4,000",0.824
110200,CORTLAND,1,0,0.742,0.801,0.801,93-94 BLD AR ,0.100,0.901,0.801,0.000,0.100,0.842,0.000,3,0.037,0.100,0.879,0.25,0,0,"4,115,740",0,0,0,0,0,0,"100,000",0,0.842,0,0.779
110304,MCGRAW,1,0,0.807,0.861,0.861,93-94 BLD AR ,0.089,0.950,0.861,0.000,0.100,0.907,0.000,4,0.040,0.100,0.947,0.00,0,0,"1,568,979",0,0,0,0,0,0,"134,309",0,0.907,0,0.847
110701,HOMER,1,0,0.749,0.834,0.834,93-94 BLD AR ,0.100,0.934,0.834,0.000,0.100,0.849,0.000,5,0.000,0.100,0.849,0.25,0,0,"2,101,382",0,0,0,0,0,0,"100,000","35,000",0.849,"1,000",0.749
110901,MARATHON,1,0,0.800,0.872,0.872,93-94 BLD AR ,0.078,0.950,0.872,0.000,0.100,0.900,0.000,4,0.040,0.100,0.940,0.00,0,0,"1,784,806",0,0,0,0,0,0,0,0,0.900,0,0.840
120102,ANDES,1,0,0.000,0.204,0.204,93-94 BLD AR ,0.100,0.304,0.204,0.000,0.100,0.204,0.000,5,0.000,0.100,0.204,0.00,0,0,"364,784",0,0,0,0,0,0,0,0,0.100,0,0.104
120301,DOWNSVILLE,1,0,0.000,0.000,0.000,NO AID RATIO ,0.100,0.100,0.000,0.001,0.100,0.101,0.001,5,0.000,0.100,0.101,0.00,0,0,"1,113,614",0,0,0,0,0,0,0,"35,000",0.100,0,0.001
120401,CHARLOTTE VALL,1,0,0.611,0.743,0.743,93-94 BLD AR ,0.100,0.843,0.743,0.000,0.100,0.743,0.000,4,0.032,0.100,0.775,0.00,0,0,"1,327,782",0,0,0,0,0,0,"100,000",0,0.711,0,0.675
120501,DELHI,1,0,0.535,0.733,0.733,93-94 BLD AR ,0.100,0.833,0.733,0.000,0.100,0.733,0.000,5,0.000,0.100,0.733,0.25,0,0,"1,388,532",0,0,0,0,0,0,"42,000","34,995",0.635,0,0.633
120701,FRANKLIN,1,0,0.440,0.778,0.778,93-94 BLD AR ,0.100,0.878,0.778,0.000,0.100,0.778,0.000,4,0.033,0.100,0.811,0.00,0,0,"407,742",0,0,0,0,0,0,"100,000","25,000",0.540,0,0.711
120906,HANCOCK,1,0,0.399,0.756,0.756,93-94 BLD AR ,0.100,0.856,0.756,0.000,0.100,0.756,0.000,4,0.032,0.100,0.788,0.00,0,0,"1,304,704",0,0,0,0,0,0,0,0,0.499,0,0.688
121401,MARGARETVILLE,1,0,0.000,0.407,0.407,93-94 BLD AR ,0.100,0.507,0.407,0.000,0.100,0.407,0.000,4,0.015,0.100,0.422,0.25,0,0,"487,202",0,0,0,0,0,0,0,0,0.100,0,0.322
121502,ROXBURY,1,0,0.000,0.553,0.553,93-94 BLD AR ,0.100,0.653,0.553,0.000,0.100,0.553,0.000,5,0.000,0.100,0.553,0.00,0,0,"196,638",0,"2,550","2,550",0,0,0,"100,000",0,0.100,0,0.453
121601,SIDNEY,1,0,0.796,0.818,0.818,NO DATA      ,0.100,0.918,0.815,0.000,0.100,0.896,0.000,4,0.039,0.100,0.935,0.00,0,"21,655","2,322,086","11,672",0,0,0,0,0,"100,000",0,0.896,"1,400",0.835
121701,STAMFORD,1,0,0.574,0.740,0.740,06-07 BLD AR ,0.100,0.840,0.732,0.000,0.100,0.732,0.000,4,0.031,0.100,0.763,0.00,0,0,"314,972",0,0,0,0,0,0,0,0,0.674,0,0.663
121702,S. KORTRIGHT,1,0,0.495,0.701,0.701,93-94 BLD AR ,0.100,0.801,0.701,0.000,0.100,0.701,0.000,4,0.030,0.100,0.731,0.00,0,0,"1,093,316",0,0,0,0,0,0,"100,000",0,0.595,"1,675",0.631
121901,WALTON,1,0,0.664,0.803,0.803,93-94 BLD AR ,0.100,0.903,0.803,0.000,0.100,0.803,0.000,4,0.035,0.100,0.838,0.00,0,0,"1,090,722",0,0,0,0,0,0,"100,000","30,000",0.764,0,0.738
130200,BEACON,1,0,0.481,0.642,0.642,93-94 BLD AR ,0.100,0.742,0.642,0.000,0.100,0.642,0.000,3,0.027,0.100,0.669,0.25,0,"2,265,776","2,000,694","7,443",0,0,0,"7,239","131,980",0,0,0.581,"20,000",0.569
130502,DOVER,1,0,0.672,0.687,0.687,NO DATA      ,0.100,0.787,0.671,0.000,0.100,0.772,0.000,5,0.000,0.100,0.772,0.00,0,0,"366,094",0,0,0,0,0,0,"407,303",0,0.772,0,0.672
130801,HYDE PARK,1,0,0.577,0.600,0.600,22-23 BLD AR ,0.100,0.700,0.583,0.000,0.100,0.677,0.000,5,0.000,0.100,0.677,0.25,0,0,"4,632,633",0,0,0,0,0,0,"100,000","35,000",0.677,"8,000",0.577
131101,NORTHEAST,1,0,0.000,0.594,0.594,91-92 BLD AR ,0.100,0.694,0.594,0.000,0.100,0.594,0.000,5,0.000,0.100,0.594,0.00,0,0,"451,282",0,0,0,0,0,0,0,0,0.100,0,0.494
131201,PAWLING,1,0,0.446,0.486,0.486,NO DATA      ,0.100,0.586,0.315,0.000,0.100,0.546,0.000,6,0.000,0.100,0.546,0.00,0,"776,937","1,162,600",0,0,0,0,0,0,0,0,0.546,0,0.446
131301,PINE PLAINS,1,0,0.000,0.468,0.468,91-92 BLD AR ,0.100,0.568,0.468,0.000,0.100,0.468,0.000,5,0.000,0.100,0.468,0.00,0,0,"1,559,841",0,0,0,0,0,0,"100,000",0,0.100,0,0.368
131500,POUGHKEEPSIE,1,0,0.745,0.784,0.784,21-22 BLD AR ,0.100,0.884,0.657,0.000,0.100,0.845,0.000,3,0.037,0.100,0.882,0.00,0,0,"2,112,624",0,"6,590","6,590",0,0,0,"600,000",0,0.845,0,0.782
131601,ARLINGTON,1,0,0.625,0.657,0.657,NO DATA      ,0.100,0.757,0.555,0.000,0.100,0.725,0.000,5,0.000,0.100,0.725,0.00,0,0,"6,174,402",0,0,0,0,0,0,0,0,0.725,"6,800",0.625
131602,SPACKENKILL,1,0,0.706,0.719,0.719,NO DATA      ,0.100,0.819,0.365,0.000,0.100,0.806,0.000,5,0.000,0.100,0.806,0.00,0,0,"1,270,452",0,0,0,0,0,0,0,0,0.806,0,0.706
131701,RED HOOK,1,0,0.495,0.644,0.644,93-94 BLD AR ,0.100,0.744,0.644,0.000,0.100,0.644,0.000,5,0.000,0.100,0.644,0.25,0,0,"1,022,274",0,0,0,0,0,0,"100,000",0,0.595,0,0.544
131801,RHINEBECK,1,0,0.000,0.368,0.368,86-87 BLD AR ,0.100,0.468,0.368,0.000,0.100,0.368,0.000,6,0.000,0.100,0.368,0.00,0,0,"996,734",0,0,0,0,0,0,"100,000","35,000",0.100,0,0.268
132101,WAPPINGERS,1,0,0.534,0.583,0.583,81-82 BLD AR ,0.100,0.683,0.583,0.000,0.100,0.634,0.000,5,0.000,0.100,0.634,0.00,0,0,"6,509,928",0,0,0,0,0,0,"100,000",0,0.634,"2,200",0.534
132201,MILLBROOK,1,0,0.000,0.230,0.230,84-85 BLD AR ,0.100,0.330,0.230,0.000,0.100,0.230,0.000,6,0.000,0.100,0.230,0.00,0,0,"1,940,372",0,0,0,0,0,0,0,"35,000",0.100,"3,000",0.130
140101,ALDEN,1,0,0.661,0.774,0.774,93-94 BLD AR ,0.100,0.874,0.774,0.000,0.100,0.774,0.000,5,0.000,0.100,0.774,0.00,0,0,"2,918,424",0,0,0,0,0,0,"100,000","10,000",0.761,0,0.674
140201,AMHERST,1,0,0.664,0.686,0.686,09-10 BLD AR ,0.100,0.786,0.568,0.000,0.100,0.764,0.000,5,0.000,0.100,0.764,0.25,0,0,"5,529,484",0,0,0,0,0,0,"100,000","35,000",0.764,"25,000",0.664
140203,WILLIAMSVILLE,1,0,0.587,0.665,0.665,10-11 BLD AR ,0.100,0.765,0.659,0.000,0.100,0.687,0.000,6,0.000,0.100,0.687,0.00,0,0,"9,637,307",0,0,0,0,0,0,"1,000,000",0,0.687,0,0.587
140207,SWEET HOME,1,0,0.569,0.665,0.665,93-94 BLD AR ,0.100,0.765,0.665,0.000,0.100,0.669,0.000,5,0.000,0.100,0.669,0.00,0,0,"4,917,349",0,0,0,0,0,0,"100,000",0,0.669,0,0.569
140301,EAST AURORA,1,0,0.497,0.661,0.661,93-94 BLD AR ,0.100,0.761,0.661,0.000,0.100,0.661,0.000,6,0.000,0.100,0.661,0.00,0,0,"3,546,532",0,0,0,0,0,0,"100,000",0,0.597,"8,000",0.561
140600,BUFFALO,1,1,0.832,0.889,0.889,10-11 BLD AR ,0.061,0.950,0.837,0.000,0.100,0.932,0.000,2,0.041,0.100,0.973,0.00,"5,406,385","2,482,578","99,207,126",0,0,0,0,0,0,0,0,0.932,"75,000",0.873
140701,CHEEKTOWAGA,1,0,0.620,0.660,0.660,10-11 BLD AR ,0.100,0.760,0.499,0.000,0.100,0.720,0.000,5,0.000,0.100,0.720,0.00,0,0,"3,412,838",0,0,0,0,0,0,"325,000","35,000",0.720,0,0.620
140702,MARYVALE,1,0,0.671,0.738,0.738,10-11 BLD AR ,0.100,0.838,0.685,0.000,0.100,0.771,0.000,5,0.000,0.100,0.771,0.00,0,0,"3,230,726",0,0,0,0,0,0,"100,000","35,000",0.771,0,0.671
140703,CLEVELAND HILL,1,0,0.757,0.815,0.815,10-11 BLD AR ,0.100,0.915,0.719,0.000,0.100,0.857,0.000,5,0.000,0.100,0.857,0.00,0,0,"1,591,130",0,0,0,0,0,0,"100,000",0,0.857,0,0.757
140707,DEPEW,1,0,0.705,0.793,0.793,93-94 BLD AR ,0.100,0.893,0.793,0.000,0.100,0.805,0.000,5,0.000,0.100,0.805,0.00,0,0,"2,316,676",0,0,0,0,0,0,"88,000",0,0.805,0,0.705
140709,SLOAN,1,0,0.733,0.811,0.811,10-11 BLD AR ,0.100,0.911,0.668,0.000,0.100,0.833,0.000,5,0.000,0.100,0.833,0.00,0,0,"1,510,850",0,0,0,0,0,0,"100,000",0,0.833,0,0.733
140801,CLARENCE,1,0,0.529,0.690,0.690,10-11 BLD AR ,0.100,0.790,0.672,0.000,0.100,0.672,0.000,6,0.000,0.100,0.672,0.00,0,0,"4,579,388",0,0,0,0,0,0,"100,000","35,000",0.629,0,0.572
141101,SPRINGVILLE-GR,1,0,0.651,0.798,0.798,93-94 BLD AR ,0.100,0.898,0.798,0.000,0.100,0.798,0.000,5,0.000,0.100,0.798,0.00,0,0,"3,979,265",0,0,0,0,0,0,0,0,0.751,0,0.698
141201,EDEN,1,0,0.639,0.782,0.782,93-94 BLD AR ,0.100,0.882,0.782,0.000,0.100,0.782,0.000,5,0.000,0.100,0.782,0.00,0,0,"1,839,931",0,0,0,0,0,0,"100,000","35,000",0.739,0,0.682
141301,IROQUOIS,1,0,0.463,0.710,0.710,93-94 BLD AR ,0.100,0.810,0.710,0.000,0.100,0.710,0.000,5,0.000,0.100,0.710,0.00,0,0,"4,066,718",0,0,0,0,0,0,"100,000",0,0.563,"15,000",0.610
141401,EVANS-BRANT,1,0,0.697,0.820,0.820,93-94 BLD AR ,0.100,0.920,0.820,0.000,0.100,0.820,0.000,5,0.000,0.100,0.820,0.25,0,0,"4,456,128",0,0,0,0,0,0,"100,000",0,0.797,0,0.720
141501,GRAND ISLAND,1,0,0.616,0.726,0.726,10-11 BLD AR ,0.100,0.826,0.715,0.000,0.100,0.716,0.000,5,0.000,0.100,0.716,0.00,0,0,"5,680,454",0,0,0,0,0,0,"100,000","35,000",0.716,0,0.616
141601,HAMBURG,1,0,0.655,0.749,0.749,93-94 BLD AR ,0.100,0.849,0.749,0.000,0.100,0.755,0.000,5,0.000,0.100,0.755,0.00,0,0,"3,590,782",0,0,0,0,0,0,"100,000",0,0.755,0,0.655
141604,FRONTIER,1,0,0.632,0.753,0.753,10-11 BLD AR ,0.100,0.853,0.740,0.000,0.100,0.740,0.000,5,0.000,0.100,0.740,0.00,0,0,"6,911,002",0,0,0,0,0,0,"100,000",0,0.732,0,0.640
141701,HOLLAND,1,0,0.568,0.815,0.815,93-94 BLD AR ,0.100,0.915,0.815,0.000,0.100,0.815,0.000,5,0.000,0.100,0.815,0.00,0,0,"1,527,873",0,0,0,0,0,0,"100,000",0,0.668,0,0.715
141800,LACKAWANNA,1,0,0.856,0.869,0.869,22-23 BLD AR ,0.081,0.950,0.816,0.000,0.094,0.950,0.000,3,0.042,0.082,0.980,0.00,0,0,"3,848,342",0,0,0,0,0,0,"84,000",0,0.956,"5,000",0.898
141901,LANCASTER,1,0,0.644,0.743,0.743,10-11 BLD AR ,0.100,0.843,0.713,0.000,0.100,0.744,0.000,5,0.000,0.100,0.744,0.00,0,"869,285","8,821,382",0,"7,674",0,0,"7,294","43,769","100,000","35,000",0.744,"50,000",0.644
142101,AKRON,1,0,0.718,0.825,0.825,93-94 BLD AR ,0.100,0.925,0.825,0.000,0.100,0.825,0.000,5,0.000,0.100,0.825,0.00,0,0,"3,508,720",0,0,0,0,0,0,0,0,0.818,0,0.725
142201,NORTH COLLINS,1,0,0.660,0.807,0.807,93-94 BLD AR ,0.100,0.907,0.807,0.000,0.100,0.807,0.000,5,0.000,0.100,0.807,0.00,0,0,"970,012",0,"38,019",0,0,0,0,"100,000",0,0.760,0,0.707
142301,ORCHARD PARK,1,0,0.580,0.700,0.700,93-94 BLD AR ,0.100,0.800,0.700,0.000,0.100,0.700,0.000,6,0.000,0.100,0.700,0.00,0,0,"3,280,726",0,0,0,0,0,0,0,0,0.680,0,0.600
142500,TONAWANDA,1,0,0.750,0.799,0.799,10-11 BLD AR ,0.100,0.899,0.791,0.000,0.100,0.850,0.000,5,0.000,0.100,0.850,0.00,0,0,"3,871,592",0,0,0,0,0,0,"1,000,000",0,0.850,0,0.750
142601,KENMORE,1,0,0.638,0.748,0.748,10-11 BLD AR ,0.100,0.848,0.621,0.000,0.100,0.738,0.000,5,0.000,0.100,0.738,0.00,0,0,"12,650,238",0,0,0,0,0,0,"100,000",0,0.738,0,0.638
142801,WEST SENECA,1,0,0.668,0.753,0.753,10-11 BLD AR ,0.100,0.853,0.714,0.000,0.100,0.768,0.000,5,0.000,0.100,0.768,0.00,0,0,"5,228,190",0,0,0,0,0,0,"100,000","25,000",0.768,"23,000",0.668
