DBSFH1, 04/13/24,INC,REP,E(WM0265) 05 2024-25 CURRENT YR BUILDING AID RATIO,F(WE0081) 03 SEL BLDG AID RATIO 23-24 BL AID<7/1/00,G(NO0391) 05 SEL BLDG AID RATIO 24-25 BL AID<7/1/98,H(MA0015) 0A LEGEND FOR CURRENT YEAR BLDG AID,I(NO0396) 05 INCENTIVE DECIMAL FOR EXP>=7/1/98,"J(NO0397) 05 SEL AID RATIO, APPR >= 7/1/98",K(WE0096) 03 SEL BLDG AID RATIO FOR 99-00 BLDG AID,L(NO0400) 05 LOW INCOME BLDG AID RATIO >= 7/1/00,M(NO0402) 05 INCENTIVE DECIMAL FOR EXP >= 7/1/00,N(NO0403) 05 SEL BLDG AID RATIO FOR EXP >= 7/1/00,O(NO0406) 05 LOW INCOME BLDG AID RATIO >= 7/1/05,"P(MI0014) 00 2003 NEED/RESOURCE CAPACITY CODE, 1-4=HI NEED","Q(NO0407) 05 HNSBAR: HIGH NEED, FOR EXP >= 7/1/05",R(NO0408) 05 INCENTIVE DECIMAL FOR EXP >= 7/1/05,S(NO0409) 05 SEL BLDG AID RATIO FOR EXP >= 7/1/05,T(NO0580) 02 REORG BLDG INCENTVE RATIO(.25 OR .30),U(NO0696) 00 BLDG LEASE EXPENDITURES,V(NO0697) 00 BLDG AMORT-RETRO EXPENDITURES,W(NO0698) 00 BLDG AMORT-PROSP EXPENDITURES,X(NO0695) 00 BLDG AMORT-CAP OUTLAY EXPENDITURES,Y(NO0699) 00 BLDG 2023 DEFERD JULY EXPENDITURES,Z(NO0703) 00 BLDG 2022 DEFERD JULY EXPENDITURES,AA(NO0700) 00 BLDG NYC UNCONFIRMED EXPENDITURES,AB(NO0701) 00 BLDG REFUND/REFIN EXPENDITURES (A.R.),AC(NO0702) 00 BLDG REFUND/REFIN EXPENDITURES (100%),AD(NO0567) 00 BLDG EXPENDITURE FOR 3 CAP OUTLAY EXCEPTIONS,"AE(B10171) 00 BLDG EXPENDITURE FOR METAL DETECTORS,ETC.","AF(NO0386) 05 AID RATIO FOR METAL DETECTORS,ETC. AID",AG(NO0727) 00 BLDG EXP. FOR WATER TESTING,AH(NO0728) 05 AID RATIO FOR WATER TESTING
020601,ANDOVER,1,0,0.776,0.860,0.860,10-11 BLD AR ,0.090,0.950,0.835,0.000,0.100,0.876,0.000,4,0.038,0.100,0.914,0.00,0,0,"768,687",0,0,0,0,0,0,"100,000",0,0.876,0,0.814
020702,GENESEE VALLEY,1,0,0.765,0.880,0.880,93-94 BLD AR ,0.070,0.950,0.880,0.000,0.100,0.880,0.000,4,0.039,0.100,0.919,0.30,0,"1,907,365","1,506,352",0,0,0,0,0,0,"100,000",0,0.865,0,0.819
020801,BELFAST,1,0,0.821,0.870,0.870,93-94 BLD AR ,0.080,0.950,0.870,0.000,0.100,0.921,0.000,4,0.041,0.100,0.962,0.00,0,0,"1,241,594",0,0,0,0,0,0,"100,000",0,0.921,0,0.862
021102,CANASERAGA,1,0,0.729,0.821,0.821,93-94 BLD AR ,0.100,0.921,0.821,0.000,0.100,0.829,0.000,4,0.036,0.100,0.865,0.00,0,0,"902,074",0,0,0,0,0,0,0,0,0.829,0,0.765
021601,FRIENDSHIP,1,0,0.847,0.902,0.902,93-94 BLD AR ,0.048,0.950,0.902,0.000,0.100,0.947,0.000,4,0.042,0.091,0.980,0.00,0,0,"1,142,130",0,0,0,0,0,0,0,0,0.947,0,0.889
022001,FILLMORE,1,0,0.829,0.864,0.864,10-11 BLD AR ,0.086,0.950,0.849,0.000,0.100,0.929,0.000,4,0.041,0.100,0.970,0.00,0,0,"1,547,418",0,0,0,0,0,0,"100,000",0,0.929,0,0.870
022101,WHITESVILLE,1,0,0.727,0.864,0.864,08-09 BLD AR ,0.086,0.950,0.854,0.000,0.100,0.854,0.000,4,0.037,0.100,0.891,0.00,0,0,"432,106",0,0,0,0,0,0,"100,000",0,0.827,0,0.791
022302,CUBA-RUSHFORD,1,0,0.686,0.816,0.816,93-94 BLD AR ,0.100,0.916,0.816,0.000,0.100,0.816,0.000,4,0.035,0.100,0.851,0.30,0,0,"1,852,062",0,0,0,0,0,0,"100,000",0,0.786,0,0.751
022401,SCIO,1,0,0.819,0.895,0.895,94-95 BLD AR ,0.055,0.950,0.895,0.000,0.100,0.919,0.000,4,0.040,0.100,0.959,0.00,0,0,"626,032",0,0,0,0,0,0,"100,000",0,0.919,0,0.859
022601,WELLSVILLE,1,0,0.799,0.836,0.836,10-11 BLD AR ,0.100,0.936,0.816,0.000,0.100,0.899,0.000,4,0.039,0.100,0.938,0.00,0,0,"3,113,032",0,0,0,0,0,0,"100,000",0,0.899,"8,000",0.838
