DBSFK1, 04/13/24,INC,REP,E(WM0182) 05 COMBINED WEALTH RATIO (CWR),F(K10134) 00 2023-24 CHARTER SCH ENR W/O BOE APPROVED,G(K20134) 00 2022-23 CHARTER SCH ENR W/O BOE APPROVED,H(K30134) 00 2021-22 CHARTER SCH ENR W/O BOE APPROVED,I(K20135) 00 2020-21 CHARTER SCH ENR W/O BOE APPROVED,J(NO0881) 00 INCREASE FROM: 22-23 TO 23-24,K(NO0886) 00 INCREASE FROM: 21-22 TO 22-23,L(NO0891) 00 INCREASE FROM: 20-21 TO 21-22,M(NO0882) 00 2023-24 TOTAL RES PUBLIC ENR,N(NO0887) 00 2022-23 TOTAL RES PUBLIC ENR,O(NO0892) 00 2021-22 TOTAL RES PUBLIC ENR,P(E10008) 00 23-24 PYMTS TO CH SCH (EST),Q(E20008) 00 22-23 PYMTS TO CH SCH (PRELIM),R(E30008) 00 21-22 PYMTS TO CH SCH (ACTUAL),S(E10001) 00 2023-24 TGFE (EST),T(E20001) 00 2022-23 TGFE (PRELIM),U(E30001) 00 2021-22 TGFE (ACTUAL),V(E10007) 00 23-24 CH SCH TOT BASIC TUIT/PUPIL,W(NO0885) 00 AID1 @ 23-24 TUITION/P*.8*INCR,X(NO0890) 00 AID2 @ 23-24 TUITION/P*.6*INCR,Y(NO0895) 00 AID3 @ 23-24 TUITION/P*.4*INCR,Z(FA0013) 00 24-25 TRANSTN AID FOR CHARTER SCH PYMTS
491200,RENSSELAER,1,0,0.557,56,41,43,45,15,0,0,"1,012","1,051","1,045","575,071","514,580","451,197","30,258,914","32,402,383","27,634,427","11,361","136,332",0,0,"136,332"
491302,AVERILL PARK,1,0,0.737,9,8,10,8,1,0,2,"2,492","2,508","2,558","113,765","93,402","104,071","64,522,960","62,012,817","61,138,971","11,727",0,0,0,0
491401,HOOSIC VALLEY,1,0,0.636,6,6,4,0,0,2,4,848,875,888,"74,820","88,905","62,814","24,627,342","23,619,175","22,292,465","12,453",0,0,0,0
491501,SCHODACK,1,0,0.684,2,0,1,2,2,0,0,873,909,908,0,0,"13,629","28,015,776","25,739,931","28,148,147","14,750",0,0,0,0
491700,TROY,1,0,0.501,690,697,728,713,0,0,15,"4,231","4,240","4,204","11,900,000","11,528,806","12,513,367","130,316,394","119,782,584","105,637,071","17,346",0,0,"104,076","104,076"
500101,CLARKSTOWN,1,0,1.034,2,0,0,1,2,0,0,"7,917","7,843","7,859","30,000","45,772",0,"243,344,291","227,548,176","219,927,652","16,094",0,0,0,0
500108,NANUET,1,0,0.928,0,0,0,0,0,0,0,"2,195","2,203","2,240",0,0,0,"87,866,034","76,260,530","73,378,072","19,154",0,0,0,0
500201,HAVERSTRAW-ST,1,0,0.600,3,2,0,0,1,2,0,"7,875","7,867","7,818","55,000","37,308","42,044","272,313,972","248,041,354","242,367,972","18,645",0,0,0,0
500301,S. ORANGETOWN,1,0,1.347,1,0,0,0,1,0,0,"2,813","2,853","2,841",0,0,0,"108,815,521","99,728,530","112,131,382","17,609",0,0,0,0
500304,NYACK,1,0,1.245,0,0,0,0,0,0,0,"2,883","2,810","2,803",0,0,0,"104,364,416","96,177,165","87,675,709","20,548",0,0,0,0
500308,PEARL RIVER,1,0,1.164,0,0,0,0,0,0,0,"2,297","2,310","2,378",0,0,0,"85,038,790","77,393,260","75,209,426","17,457",0,0,0,0
500401,SUFFERN,1,0,1.122,0,0,0,0,0,0,0,"3,904","3,915","4,027",0,0,0,"154,071,981","146,735,164","140,910,013","18,349",0,0,0,0
500402,EAST RAMAPO,1,1,1.127,0,0,1,1,0,0,0,"10,467","10,045","9,724",0,0,0,"295,605,762","241,072,572","233,520,752","17,234",0,0,0,0
510101,BRASHER FALLS,1,0,0.293,0,0,0,0,0,0,0,916,943,947,0,0,0,"29,489,830","25,053,109","24,340,624","13,401",0,0,0,0
510201,CANTON,1,0,0.604,0,0,0,0,0,0,0,"1,035","1,084","1,084",0,0,0,"37,160,000","31,298,402","29,097,026","14,138",0,0,0,0
510401,CLIFTON FINE,1,0,1.018,0,0,0,0,0,0,0,236,235,237,0,0,0,"11,332,250","10,620,567","9,280,819","18,641",0,0,0,0
510501,COLTON PIERREP,1,0,0.952,0,0,0,0,0,0,0,359,354,363,0,0,0,"12,303,012","16,835,230","10,647,252","21,630",0,0,0,0
511101,GOUVERNEUR,1,0,0.367,0,0,0,0,0,0,0,"1,390","1,416","1,422",0,0,0,"41,263,411","36,141,552","35,667,813","12,164",0,0,0,0
511201,HAMMOND,1,0,0.753,0,0,0,0,0,0,0,209,227,215,0,0,0,"9,523,247","9,883,782","7,411,574","15,749",0,0,0,0
511301,HERMON DEKALB,1,0,0.384,0,0,0,0,0,0,0,361,363,372,0,0,0,"14,262,451","11,778,802","11,468,283","15,303",0,0,0,0
511602,LISBON,1,0,0.385,0,0,0,0,0,0,0,523,526,532,0,0,0,"17,249,863","16,232,555","13,420,435","16,247",0,0,0,0
511901,MADRID WADDING,1,0,0.457,0,0,0,0,0,0,0,594,629,636,0,0,0,"19,243,836","16,168,082","16,236,387","13,666",0,0,0,0
512001,MASSENA,1,0,0.360,0,0,0,0,0,0,0,"2,331","2,364","2,407",0,0,0,"67,473,621","57,034,506","51,139,580","11,605",0,0,0,0
512101,MORRISTOWN,1,0,0.656,0,0,0,0,0,0,0,310,318,338,0,0,0,"11,522,827","8,687,377","8,771,508","14,307",0,0,0,0
512201,NORWOOD NORFOL,1,0,0.323,0,0,0,0,0,0,0,918,951,976,0,0,0,"28,848,942","24,233,359","23,299,991","13,121",0,0,0,0
512300,OGDENSBURG,1,0,0.300,0,0,0,0,0,0,0,"1,351","1,411","1,447",0,0,0,"55,211,205","48,307,980","42,109,770","14,939",0,0,0,0
512404,HEUVELTON,1,0,0.373,0,0,0,0,0,0,0,539,526,513,0,0,0,"16,459,180","14,436,936","13,001,568","11,482",0,0,0,0
512501,PARISHVILLE,1,0,0.663,0,0,0,0,0,0,0,315,325,325,0,0,0,"13,213,861","11,330,669","11,112,671","13,015",0,0,0,0
512902,POTSDAM,1,0,0.543,0,0,0,0,0,0,0,"1,251","1,236","1,250",0,0,0,"37,934,959","33,160,619","33,691,044","14,232",0,0,0,0
513102,EDWARDS-KNOX,1,0,0.387,0,0,0,0,0,0,0,475,478,470,0,0,0,"16,879,974","16,472,498","15,114,984","12,406",0,0,0,0
520101,BURNT HILLS,1,0,0.701,0,0,0,1,0,0,0,"3,144","3,112","3,070",0,0,0,"81,570,122","74,900,666","70,358,394","12,031",0,0,0,0
520302,SHENENDEHOWA,1,0,0.939,13,12,11,15,1,1,0,"9,341","9,443","9,503","142,901","130,386","147,953","206,611,478","190,164,567","181,950,731","13,387",0,0,0,0
520401,CORINTH,1,0,0.620,0,0,0,0,0,0,0,"1,023","1,054","1,055",0,0,0,"26,129,500","25,459,602","22,925,004","11,929",0,0,0,0
520601,EDINBURG,1,0,2.883,0,0,0,0,0,0,0,96,103,95,0,0,0,"3,903,200","2,863,428","3,073,656","23,504",0,0,0,0
520701,GALWAY,1,0,0.971,0,0,0,0,0,0,0,792,781,808,0,0,0,"25,087,449","22,920,981","21,537,979","11,157",0,0,0,0
521200,MECHANICVILLE,1,0,0.646,0,0,3,1,0,0,2,"1,326","1,327","1,343",0,0,"23,176","33,276,388","28,113,423","29,082,111","14,005",0,0,0,0
521301,BALLSTON SPA,1,0,0.814,3,3,2,0,0,1,2,"3,889","3,923","4,029","26,000","40,467","25,156","104,232,811","97,710,462","92,577,668","13,810",0,0,0,0
521401,S. GLENS FALLS,1,1,0.686,0,0,0,0,0,0,0,"2,831","2,834","2,861",0,0,0,"69,871,797","63,498,394","75,243,612","12,249",0,0,0,0
521701,SCHUYLERVILLE,1,0,1.004,0,0,0,0,0,0,0,"1,357","1,376","1,409",0,0,0,"38,366,397","36,647,310","36,302,607","12,786",0,0,0,0
521800,SARATOGA SPRIN,1,0,1.434,2,1,0,1,1,1,0,"5,864","6,010","6,067","12,500","10,287",0,"142,718,533","126,524,657","123,566,910","12,472",0,0,0,0
522001,STILLWATER,1,0,0.937,0,0,0,0,0,0,0,994,"1,000","1,036",0,0,0,"29,988,245","26,843,751","26,546,767","10,709",0,0,0,0
522101,WATERFORD,1,0,0.682,4,3,3,4,1,0,0,737,739,747,"75,000","40,631","40,636","23,464,032","19,923,880","19,348,369","18,969",0,0,0,0
530101,DUANESBURG,1,0,0.770,0,0,0,0,0,0,0,645,635,649,0,0,0,"18,900,500","17,752,153","17,408,623","10,253",0,0,0,0
530202,SCOTIA GLENVIL,1,0,0.712,2,1,1,3,1,0,0,"2,198","2,258","2,322","41,537","24,308","29,850","62,959,582","56,577,601","55,588,884","13,540",0,0,0,0
530301,NISKAYUNA,1,0,0.828,12,10,8,4,2,2,4,"4,375","4,355","4,250","210,000","184,104","73,651","107,805,164","92,919,246","96,150,651","13,877",0,0,0,0
530501,SCHALMONT,1,0,0.834,3,1,1,4,2,0,0,"1,810","1,826","1,812","44,688","38,715","14,797","55,853,038","44,731,618","45,133,442","14,896",0,0,0,0
530515,MOHONASEN,1,0,0.604,10,4,5,2,6,0,3,"2,829","2,774","2,739","100,000","92,623","40,188","62,761,500","56,587,751","54,259,855","10,995",0,0,0,0
530600,SCHENECTADY,1,0,0.327,580,538,445,404,42,93,41,"9,543","9,417","9,637","7,400,000","7,251,376","5,921,448","266,267,940","232,438,650","208,201,589","14,302","480,547","798,052","234,553","1,513,152"
540801,GILBOA CONESVI,1,0,1.466,0,0,0,0,0,0,0,267,285,277,0,0,0,"11,759,465","9,141,301","9,765,086","15,860",0,0,0,0
540901,JEFFERSON,1,0,1.058,0,0,0,0,0,0,0,156,152,157,0,0,0,"7,548,933","7,142,850","6,290,447","14,299",0,0,0,0
541001,MIDDLEBURGH,1,0,0.688,0,0,0,0,0,0,0,605,621,629,0,0,0,"24,312,490","23,095,296","20,563,269","13,755",0,0,0,0
541102,COBLESKL-RICHM,1,0,0.599,0,0,0,0,0,0,0,"1,420","1,433","1,486",0,0,0,"44,010,600","41,897,531","40,400,947","13,615",0,0,0,0
541201,SCHOHARIE,1,0,0.593,0,0,0,0,0,0,0,829,814,845,0,0,0,"26,819,862","24,445,928","25,548,157","13,931",0,0,0,0
541401,SHARON SPRINGS,1,0,0.667,0,0,0,0,0,0,0,248,231,235,0,0,0,"10,688,068","9,252,864","8,223,136","16,703",0,0,0,0
550101,ODESSA MONTOUR,1,0,0.493,3,2,2,0,1,0,2,650,686,664,"25,000","35,211","24,188","19,978,992","17,667,135","14,740,019","11,644",0,0,0,0
550301,WATKINS GLEN,1,0,0.804,3,2,3,4,1,0,0,833,836,892,"23,500","32,480","43,388","29,427,585","26,286,216","24,874,078","12,578",0,0,0,0
560501,SOUTH SENECA,1,0,0.839,2,0,0,1,2,0,0,621,611,622,0,0,0,"26,864,443","25,112,529","23,807,461","15,265",0,0,0,0
560603,ROMULUS,1,0,1.074,0,0,0,0,0,0,0,328,329,326,0,0,0,"12,894,720","15,290,769","12,209,254","17,119",0,0,0,0
560701,SENECA FALLS,1,0,0.540,0,0,0,0,0,0,0,"1,191","1,202","1,212",0,0,0,"35,898,750","28,801,088","29,163,265","12,802",0,0,0,0
561006,WATERLOO CENT,1,0,0.491,0,0,0,0,0,0,0,"1,421","1,444","1,510",0,0,0,"49,800,547","45,915,070","40,985,916","13,189",0,0,0,0
570101,ADDISON,1,0,0.402,0,3,3,3,0,0,0,957,998,978,0,"19,649","38,256","35,553,118","34,764,662","35,965,324","13,483",0,0,0,0
570201,AVOCA,1,0,0.484,0,0,0,0,0,0,0,376,378,380,0,0,0,"14,541,697","13,878,738","12,741,810","15,491",0,0,0,0
570302,BATH,1,0,0.384,0,0,0,0,0,0,0,"1,306","1,321","1,266",0,0,0,"43,301,542","36,915,088","34,445,946","10,455",0,0,0,0
570401,BRADFORD,1,0,0.544,0,0,0,0,0,0,0,233,240,240,0,0,0,"9,768,618","8,292,388","8,241,879","14,482",0,0,0,0
570603,CAMPBELL-SAVON,1,0,0.429,0,0,0,0,0,0,0,687,704,707,0,0,0,"24,848,982","22,872,536","20,578,278","10,128",0,0,0,0
571000,CORNING,1,0,0.655,2,2,2,2,0,0,0,"4,321","4,284","4,289","26,000","18,273","20,876","130,903,114","120,706,643","111,524,253","12,843",0,0,0,0
571502,CANISTEO-GREEN,1,0,0.349,0,0,0,0,0,0,0,881,889,915,0,0,0,"28,708,063","25,317,248","23,944,693","16,137",0,0,0,0
571800,HORNELL,1,0,0.358,0,0,0,0,0,0,0,"1,331","1,309","1,370",0,0,0,"41,093,309","41,685,719","36,552,306","10,107",0,0,0,0
571901,ARKPORT,1,0,0.529,0,0,0,0,0,0,0,369,385,398,0,0,0,"13,798,110","13,237,367","12,578,844","11,921",0,0,0,0
572301,PRATTSBURG,1,0,0.492,0,0,0,0,0,0,0,333,347,324,0,0,0,"11,429,350","10,293,438","9,751,320","12,965",0,0,0,0
572702,JASPER-TRPSBRG,1,0,0.443,0,0,0,0,0,0,0,337,352,354,0,0,0,"13,448,126","11,100,362","11,174,750","10,673",0,0,0,0
572901,HAMMONDSPORT,1,0,1.861,0,0,0,0,0,0,0,350,335,357,0,0,0,"15,741,650","13,836,414","13,852,965","17,510",0,0,0,0
573002,WAYLAND-COHOCT,1,0,0.449,0,0,0,0,0,0,0,"1,270","1,256","1,245",0,0,0,"36,445,408","32,259,867","31,892,653","12,382",0,0,0,0
580101,BABYLON,1,0,1.367,3,2,0,0,1,2,0,"1,551","1,561","1,554","85,000","55,176",0,"59,876,501","57,679,251","55,391,130","19,015",0,0,0,0
580102,WEST BABYLON,1,0,0.871,4,5,2,2,0,3,0,"3,692","3,688","3,677","70,000","40,439","35,647","129,410,667","123,098,919","114,792,299","17,570",0,0,0,0
580103,NORTH BABYLON,1,0,0.709,2,1,1,2,1,0,0,"4,554","4,562","4,562",0,"16,445","16,164","137,814,282","127,877,121","121,151,493","16,899",0,0,0,0
580104,LINDENHURST,1,0,0.806,4,1,0,2,3,1,0,"5,647","5,639","5,585","11,000","10,344",0,"185,302,256","172,022,466","163,777,776","15,691",0,0,0,0
580105,COPIAGUE,1,0,0.598,18,9,10,4,9,0,6,"4,880","4,890","4,940","197,040","195,003","123,485","170,023,070","154,220,433","131,342,345","18,229",0,0,0,0
580106,AMITYVILLE,1,0,0.938,56,46,35,30,10,11,5,"2,895","2,902","2,948","745,000","924,049","661,930","112,729,128","111,586,451","96,409,208","20,322",0,0,0,0
580107,DEER PARK,1,0,0.796,3,5,0,0,0,5,0,"3,945","3,916","3,824","49,905","38,793",0,"138,857,908","124,700,394","117,595,729","16,635",0,0,0,0
580109,WYANDANCH,0,0,0.275,279,110,11,8,169,99,3,"2,944","2,758","2,704","3,731,566","2,278,276","182,135","88,178,217","88,178,217","74,409,980","19,368","2,618,554","1,150,459",0,"3,769,013"
580201,THREE VILLAGE,1,0,1.964,0,0,0,0,0,0,0,"5,517","5,529","5,646",0,0,0,"234,810,674","224,623,136","217,862,702","18,646",0,0,0,0
580203,COMSEWOGUE,1,0,0.707,1,0,0,0,1,0,0,"3,496","3,565","3,514","15,000",0,0,"110,777,250","99,843,724","95,208,610","15,780",0,0,0,0
580205,SACHEM,1,0,0.845,20,0,1,2,20,0,0,"11,749","11,844","12,028","120,000",0,"14,302","363,861,428","355,371,517","329,846,379","15,181",0,0,0,0
580206,PORT JEFFERSON,1,0,2.796,0,0,0,0,0,0,0,870,878,908,0,0,0,"47,066,912","46,113,378","42,826,581","23,536",0,0,0,0
580207,MOUNT SINAI,1,0,1.100,0,0,0,0,0,0,0,"2,070","2,074","2,142",0,0,0,"66,801,726","61,649,624","65,384,113","16,701",0,0,0,0
580208,MILLER PLACE,1,0,0.910,6,6,6,6,0,0,0,"2,324","2,348","2,418","90,000","86,424","85,662","80,364,624","73,905,509","71,378,078","14,280",0,0,0,0
580209,ROCKY POINT,1,0,0.710,1,1,1,2,0,0,0,"2,666","2,720","2,779","15,000","15,495","14,689","86,119,728","85,452,099","84,231,087","15,495",0,0,0,0
580211,MIDDLE COUNTRY,1,0,0.708,12,7,7,2,5,0,5,"9,040","9,054","9,014","88,763","76,705","102,679","285,900,411","262,473,575","256,143,160","15,728",0,0,0,0
580212,LONGWOOD,1,0,0.699,88,86,72,86,2,14,0,"9,055","8,970","9,029","1,525,000","1,429,546","1,168,681","291,000,000","256,415,494","243,619,954","16,613",0,0,0,0
580224,PATCHOGUE-MEDF,1,0,0.705,17,8,7,6,9,1,1,"7,483","7,453","7,394","264,044","114,629","98,867","231,273,657","220,975,621","192,185,437","15,532",0,0,0,0
580232,WILLIAM FLOYD,1,0,0.438,131,128,108,88,3,20,20,"9,559","9,343","9,130","1,725,250","2,019,334","1,840,565","292,518,145","274,618,587","250,397,209","16,396",0,0,0,0
580233,CENTER MORICHE,1,0,0.719,4,4,3,5,0,1,0,"1,434","1,442","1,442","85,000","67,152","48,912","49,376,250","46,071,859","42,660,666","17,208",0,0,0,0
580234,EAST MORICHES,1,0,1.148,3,3,2,2,0,1,0,972,927,979,"55,000","52,458","34,902","31,156,800","29,264,460","33,816,373","17,956",0,0,0,0
580235,SOUTH COUNTRY,1,0,0.844,24,23,22,11,1,1,11,"3,971","3,982","4,106","450,000","460,147","444,631","140,882,021","130,981,283","128,127,339","18,715",0,0,0,0
580301,EAST HAMPTON,1,0,9.479,0,0,0,0,0,0,0,"1,192","1,218","1,259",0,0,0,"78,929,040","77,734,641","72,754,942","25,462",0,0,0,0
580303,AMAGANSETT,1,0,25.072,0,0,0,0,0,0,0,164,158,164,0,0,0,"13,166,519","11,091,427","10,400,561","63,430",0,0,0,0
580304,SPRINGS,1,0,2.756,0,0,0,0,0,0,0,999,998,996,0,0,0,"35,406,133","31,810,021","29,860,780","25,307",0,0,0,0
580305,SAG HARBOR,1,0,6.904,0,0,0,0,0,0,0,854,864,878,0,0,0,"47,981,728","44,128,278","43,898,359","31,073",0,0,0,0
580306,MONTAUK,1,0,8.665,0,0,0,0,0,0,0,421,432,449,0,0,0,"22,779,958","19,680,534","18,958,206","35,371",0,0,0,0
580401,ELWOOD,1,0,1.121,0,0,0,0,0,0,0,"1,978","1,997","1,985",0,0,0,"73,424,432","66,767,434","63,237,066","16,077",0,0,0,0
580402,COLD SPRING HA,1,0,3.332,0,0,0,0,0,0,0,"1,531","1,573","1,631",0,0,0,"77,141,052","70,337,767","68,337,466","21,234",0,0,0,0
580403,HUNTINGTON,1,0,1.551,1,1,0,0,0,1,0,"4,144","4,137","4,154","19,000","18,960","18,686","146,347,094","144,365,807","139,557,764","19,495",0,0,0,0
580404,NORTHPORT,1,0,1.846,0,0,0,0,0,0,0,"4,434","4,572","4,741",0,0,0,"180,562,548","175,655,663","174,059,574","19,576",0,0,0,0
580405,HALF HOLLOW HI,1,0,1.564,7,2,0,0,5,2,0,"7,259","7,322","7,409","51,000","47,899",0,"289,790,216","264,067,417","257,953,014","16,418",0,0,0,0
580406,HARBORFIELDS,1,0,1.342,2,1,0,0,1,1,0,"2,800","2,793","2,810","16,000","15,409",0,"95,108,679","92,002,959","83,625,281","15,708",0,0,0,0
580410,COMMACK,1,0,1.142,1,1,0,0,0,1,0,"5,514","5,586","5,620",0,0,0,"221,197,700","196,686,117","189,248,536","16,226",0,0,0,0
580413,S. HUNTINGTON,1,0,0.878,0,0,0,0,0,0,0,"5,843","5,853","5,782",0,0,0,"209,068,730","196,279,424","183,289,074","18,705",0,0,0,0
580501,BAY SHORE,1,0,0.766,10,3,0,0,7,3,0,"5,671","5,661","5,736","180,000","86,594",0,"194,639,180","176,851,693","168,811,125","18,584",0,0,0,0
580502,ISLIP,1,0,0.978,2,0,0,0,2,0,0,"2,722","2,691","2,733","35,000",0,0,"95,250,851","90,217,143","86,552,879","16,621",0,0,0,0
580503,EAST ISLIP,1,0,1.047,1,1,0,0,0,1,0,"3,429","3,447","3,387","15,107","15,107",0,"125,788,472","120,829,210","117,760,316","15,228",0,0,0,0
580504,SAYVILLE,1,0,1.160,0,0,0,0,0,0,0,"2,520","2,622","2,647",0,0,0,"102,048,891","97,487,523","92,676,183","18,007",0,0,0,0
580505,BAYPORT BLUE P,1,0,1.206,0,0,0,0,0,0,0,"1,816","1,861","1,911",0,0,0,"83,453,366","79,799,507","76,030,360","19,427",0,0,0,0
580506,HAUPPAUGE,1,0,1.464,0,0,0,0,0,0,0,"3,215","3,224","3,243",0,0,0,"128,739,896","122,716,485","114,893,963","19,302",0,0,0,0
580507,CONNETQUOT,1,0,1.083,5,1,4,4,4,0,0,"5,405","5,390","5,345",0,"18,139","71,092","211,644,671","200,675,074","195,057,180","18,484",0,0,0,0
580509,WEST ISLIP,1,0,1.162,0,0,0,0,0,0,0,"3,743","3,754","3,831",0,0,0,"134,220,231","138,023,445","127,540,027","16,035",0,0,0,0
580512,BRENTWOOD,1,0,0.354,65,26,12,9,39,14,3,"18,755","18,562","18,248","970,000","370,550","184,115","561,325,261","475,348,502","423,986,253","17,336",0,0,0,0
580513,CENTRAL ISLIP,1,0,0.431,43,12,6,7,31,6,0,"7,815","7,727","7,450","800,000","271,756","175,100","252,864,607","227,983,632","223,157,075","23,314",0,0,0,0
580514,FIRE ISLAND,1,0,77.084,0,0,0,0,0,0,0,29,25,24,0,0,0,"5,347,611","5,212,875","5,116,372","113,268",0,0,0,0
580601,SHOREHAM-WADIN,1,0,1.148,0,2,2,2,0,0,0,"1,966","2,003","2,027",0,"27,605","34,686","84,743,360","73,954,185","76,675,671","18,075",0,0,0,0
580602,RIVERHEAD,1,0,0.918,545,545,493,463,0,52,30,"6,136","6,161","6,015","11,694,756","10,266,881","8,803,247","192,272,588","169,136,216","153,188,076","20,107",0,"627,338","241,284","868,622"
580701,SHELTER ISLAND,1,0,15.006,0,0,0,0,0,0,0,173,160,162,0,0,0,"12,664,093","12,577,211","12,122,194","29,390",0,0,0,0
580801,SMITHTOWN,1,0,1.440,0,0,0,0,0,0,0,"7,706","7,919","8,057",0,0,0,"282,042,252","268,143,750","258,622,175","16,162",0,0,0,0
580805,KINGS PARK,1,0,1.479,0,1,0,0,0,1,0,"2,652","2,645","2,764",0,"17,788",0,"98,405,687","98,357,873","90,653,945","15,314",0,0,0,0
580901,REMSENBURG,1,0,5.488,0,0,1,1,0,0,0,292,275,295,0,0,"39,023","16,003,955","14,111,398","15,660,863","40,932",0,0,0,0
580902,WESTHAMPTON BE,1,0,4.194,0,0,2,3,0,0,0,848,876,925,0,0,"14,673","61,515,189","58,858,336","58,366,614","20,058",0,0,0,0
580903,QUOGUE,1,0,21.337,0,0,0,0,0,0,0,135,138,135,0,0,0,"9,934,116","10,042,106","8,511,357","52,520",0,0,0,0
580905,HAMPTON BAYS,1,0,1.353,7,5,5,3,2,0,2,"2,020","2,055","2,033","86,810","82,833","85,375","63,945,547","59,547,888","55,961,527","18,424",0,0,0,0
580906,SOUTHAMPTON,1,0,14.946,0,0,0,0,0,0,0,"1,133","1,176","1,195",0,0,0,"76,899,000","80,118,767","76,209,748","26,429",0,0,0,0
580909,BRIDGEHAMPTON,1,0,28.620,0,0,0,0,0,0,0,166,173,180,0,0,0,"21,741,879","20,735,497","18,841,468","77,128",0,0,0,0
580912,EASTPORT-SOUTH,1,0,0.894,5,5,5,3,0,0,2,"2,734","2,798","2,925","64,000","68,290","61,020","109,756,933","102,018,076","98,070,627","14,193",0,0,0,0
580913,TUCKAHOE COMMO,1,0,5.018,0,0,0,0,0,0,0,375,348,413,0,0,0,"23,808,303","20,883,586","20,505,174","33,661",0,0,0,0
580917,EAST QUOGUE,1,0,2.003,0,0,0,0,0,0,0,781,769,763,0,0,0,"28,362,341","27,124,052","24,756,132","23,025",0,0,0,0
581002,OYSTERPONDS,1,0,9.782,0,0,0,0,0,0,0,104,109,114,0,0,0,"5,558,823","5,026,396","6,261,687","36,838",0,0,0,0
581004,FISHERS ISLAND,1,0,15.530,0,0,0,0,0,0,0,32,32,27,0,0,0,"3,940,884","3,657,385","4,223,148",0,0,0,0,0
581005,SOUTHOLD,1,0,3.641,0,0,0,0,0,0,0,673,695,704,0,0,0,"32,125,458","34,198,352","29,755,711","19,972",0,0,0,0
581010,GREENPORT,1,0,2.058,1,1,1,0,0,0,1,599,612,612,"70,040","21,084","40,448","23,709,875","19,446,783","18,451,661","21,466",0,0,0,0
581012,MATTITUCK-CUTC,1,0,3.312,0,0,0,2,0,0,0,971,999,"1,072",0,0,0,"44,016,344","48,126,369","40,127,643","17,381",0,0,0,0
590501,FALLSBURG,1,0,0.476,0,0,0,0,0,0,0,"1,516","1,513","1,449",0,0,0,"59,260,373","51,405,383","47,402,644","21,341",0,0,0,0
590801,ELDRED,1,0,1.433,0,0,0,0,0,0,0,451,462,450,0,0,0,"19,509,716","20,709,656","19,325,734","13,146",0,0,0,0
590901,LIBERTY,1,0,0.441,0,0,0,0,0,0,0,"1,753","1,785","1,772",0,0,0,"66,296,362","51,467,941","50,959,366","20,666",0,0,0,0
591201,TRI VALLEY,1,0,1.027,0,0,0,0,0,0,0,848,875,868,0,0,0,"36,497,136","36,993,030","34,132,992","21,869",0,0,0,0
591301,ROSCOE,1,0,1.120,0,0,0,0,0,0,0,201,215,220,0,0,0,"10,288,047","10,483,155","10,467,517","19,803",0,0,0,0
591302,LIVINGSTON MAN,1,0,1.121,0,0,0,0,0,0,0,369,391,413,0,0,0,"19,365,346","22,032,012","16,584,277","18,772",0,0,0,0
591401,MONTICELLO,1,0,0.757,0,0,2,2,0,0,0,"2,719","2,776","2,831",0,0,0,"97,886,695","92,188,859","89,823,867","16,694",0,0,0,0
591502,SULLIVAN WEST,1,0,1.197,0,0,0,0,0,0,0,"1,023","1,011","1,006",0,0,0,"41,796,395","37,604,710","36,256,795","16,052",0,0,0,0
600101,WAVERLY,1,0,0.414,4,4,5,3,0,0,2,"1,392","1,393","1,407","43,748","43,748","52,450","38,148,058","32,642,528","32,124,424","11,454",0,0,0,0
600301,CANDOR,1,0,0.409,4,4,2,1,0,2,1,651,668,687,"40,000","54,688","29,921","21,051,610","19,376,140","18,438,778","14,867",0,0,0,0
600402,NEWARK VALLEY,1,0,0.451,1,1,3,2,0,0,1,972,995,"1,019",0,"35,278","28,445","28,737,314","29,031,002","24,460,160","12,060",0,0,0,0
600601,OWEGO-APALACHI,1,0,0.515,0,0,0,1,0,0,0,"1,851","1,829","1,854",0,0,0,"56,776,269","51,695,950","49,141,589","13,864",0,0,0,0
600801,SPENCER VAN ET,1,0,0.511,5,13,7,5,0,6,2,755,771,789,"162,000","172,789","112,593","26,828,616","22,110,424","21,885,919","13,450",0,0,0,0
600903,TIOGA,1,0,0.412,0,0,0,1,0,0,0,793,805,822,0,0,0,"21,910,675","20,322,088","18,621,471","12,137",0,0,0,0
610301,DRYDEN,1,0,0.652,11,11,17,10,0,0,7,"1,258","1,288","1,306","140,000","134,112","171,154","44,141,424","41,637,612","41,057,826","13,026",0,0,0,0
610501,GROTON,1,0,0.495,3,3,5,8,0,0,0,713,735,756,"74,986","33,469","59,200","25,801,249","20,613,563","23,124,494","13,104",0,0,0,0
610600,ITHACA,1,0,1.189,55,55,64,62,0,0,2,"5,000","4,994","4,919","1,011,886","823,590","1,023,872","158,212,760","144,087,757","135,004,575","16,086",0,0,0,0
610801,LANSING,1,0,0.938,5,5,4,4,0,1,0,"1,103","1,131","1,148","81,000","80,001","54,814","36,634,046","33,893,995","32,213,012","14,058",0,0,0,0
610901,NEWFIELD,1,0,0.474,15,15,13,5,0,2,8,653,690,708,"235,000","186,476","191,029","24,571,347","20,950,429","20,265,350","12,782",0,"15,338",0,"15,338"
611001,TRUMANSBURG,1,0,0.685,5,9,5,6,0,4,0,899,938,932,"102,232","94,604","72,261","31,126,684","30,376,725","26,944,189","13,146",0,0,0,0
