DBSFK1, 04/13/24,INC,REP,E(WM0182) 05 COMBINED WEALTH RATIO (CWR),F(K10134) 00 2023-24 CHARTER SCH ENR W/O BOE APPROVED,G(K20134) 00 2022-23 CHARTER SCH ENR W/O BOE APPROVED,H(K30134) 00 2021-22 CHARTER SCH ENR W/O BOE APPROVED,I(K20135) 00 2020-21 CHARTER SCH ENR W/O BOE APPROVED,J(NO0881) 00 INCREASE FROM: 22-23 TO 23-24,K(NO0886) 00 INCREASE FROM: 21-22 TO 22-23,L(NO0891) 00 INCREASE FROM: 20-21 TO 21-22,M(NO0882) 00 2023-24 TOTAL RES PUBLIC ENR,N(NO0887) 00 2022-23 TOTAL RES PUBLIC ENR,O(NO0892) 00 2021-22 TOTAL RES PUBLIC ENR,P(E10008) 00 23-24 PYMTS TO CH SCH (EST),Q(E20008) 00 22-23 PYMTS TO CH SCH (PRELIM),R(E30008) 00 21-22 PYMTS TO CH SCH (ACTUAL),S(E10001) 00 2023-24 TGFE (EST),T(E20001) 00 2022-23 TGFE (PRELIM),U(E30001) 00 2021-22 TGFE (ACTUAL),V(E10007) 00 23-24 CH SCH TOT BASIC TUIT/PUPIL,W(NO0885) 00 AID1 @ 23-24 TUITION/P*.8*INCR,X(NO0890) 00 AID2 @ 23-24 TUITION/P*.6*INCR,Y(NO0895) 00 AID3 @ 23-24 TUITION/P*.4*INCR,Z(FA0013) 00 24-25 TRANSTN AID FOR CHARTER SCH PYMTS
410601,CAMDEN,1,0,0.449,0,0,0,0,0,0,0,"1,918","1,911","1,932",0,0,0,"56,326,031","53,370,043","57,625,526","10,529",0,0,0,0
411101,CLINTON,1,0,0.722,0,0,1,1,0,0,0,"1,205","1,250","1,282",0,0,"6,453","30,808,153","32,097,082","28,045,908","13,827",0,0,0,0
411501,NEW HARTFORD,1,0,0.744,5,8,4,8,0,4,0,"2,547","2,598","2,542","75,378","99,125","49,760","62,893,741","58,529,392","55,832,435","12,563",0,0,0,0
411504,NEW YORK MILLS,1,0,0.680,3,2,3,5,1,0,0,599,578,530,"30,000","27,098","39,780","16,415,975","14,713,536","13,596,603","14,057",0,0,0,0
411603,SAUQUOIT VALLE,1,0,0.512,1,2,3,6,0,0,0,969,981,984,"45,000","22,982","65,290","24,948,398","23,067,735","23,337,074","14,129",0,0,0,0
411701,REMSEN,1,0,0.595,0,0,0,0,0,0,0,384,388,403,0,0,0,"13,873,029","12,191,208","12,529,033","19,024",0,0,0,0
411800,ROME,1,0,0.359,4,4,6,4,0,0,2,"5,224","5,312","5,303","30,000","56,369","78,108","136,292,454","129,739,887","117,511,992","14,583",0,0,0,0
411902,WATERVILLE,1,0,0.465,0,0,0,0,0,0,0,719,719,735,0,0,0,"20,959,619","18,971,135","18,208,184","13,217",0,0,0,0
412000,SHERRILL,1,0,0.505,0,0,0,0,0,0,0,"1,767","1,749","1,749",0,0,0,"44,079,101","42,037,479","40,116,714","12,131",0,0,0,0
412201,HOLLAND PATENT,1,0,0.585,2,2,0,0,0,2,0,"1,229","1,231","1,228","25,844","21,026",0,"36,269,196","35,271,032","32,384,900","12,922",0,0,0,0
412300,UTICA,1,0,0.243,839,825,741,694,14,84,47,"10,231","10,255","10,266","9,363,000","9,263,250","7,962,863","240,445,831","201,255,982","184,429,241","11,883","133,090","598,903","223,400","955,393"
412801,WESTMORELAND,1,0,0.532,0,0,0,0,0,0,0,835,848,842,0,0,0,"25,208,049","22,826,942","22,150,330","12,137",0,0,0,0
412901,ORISKANY,1,0,0.643,0,0,0,0,0,0,0,543,529,529,0,0,0,"15,667,177","14,847,360","16,213,233","13,279",0,0,0,0
412902,WHITESBORO,1,0,0.586,17,17,13,7,0,4,6,"3,049","3,096","3,163","145,000","150,220","130,678","80,101,970","75,070,887","69,874,626","12,500",0,0,0,0
420101,WEST GENESEE,1,0,0.637,23,24,27,19,0,0,8,"4,508","4,467","4,469","285,000","279,871","325,875","105,749,050","94,523,332","91,353,700","12,652",0,0,0,0
420303,NORTH SYRACUSE,1,0,0.607,56,51,45,40,5,6,5,"7,810","7,957","7,951","645,000","645,256","539,949","203,270,342","183,192,777","176,443,191","13,189",0,0,0,0
420401,E SYRACUSE-MIN,1,0,0.616,9,4,2,8,5,2,0,"3,070","3,067","3,041","130,000","64,844","39,171","97,585,195","89,575,218","85,443,509","16,309",0,0,0,0
420411,JAMESVILLE-DEW,1,0,1.002,2,3,0,2,0,3,0,"2,421","2,465","2,549","27,414","51,132","8,723","69,060,156","65,225,645","58,662,752","12,986",0,0,0,0
